#,N,N_ext,z,z_std,<mu_g>,<mu_g>_std,log  M_star,log  M_star_std,log  sSFR,log  sSFR_std,(g-r),(g-r)_std,M_g,M_g_std,comment,score
137,1,1,0.0200,0.0000,20.9287,0.0000,7.4550,0.0000,-11.4550,0.0000,0.5352,0.0000,-12.3860,0.0000,St,0.1628
138,931,930,0.4000,0.2029,23.5195,0.3321,9.6732,0.5292,-9.4383,0.2746,0.3257,0.0939,-20.1925,1.3572,Sa/Sb/Sc,0.1954
139,141,141,0.6300,0.1952,24.4736,0.4711,10.8493,0.3675,-11.2136,1.5735,0.6886,0.1064,-21.9779,0.8003,E    asymmetries,0.1550
140,148,141,0.4200,0.0789,23.0605,0.3483,10.9247,0.3803,-14.5834,1.8671,0.7127,0.0775,-21.7036,0.7196,E  companions,0.1253
141,154,154,0.3300,0.2923,23.9565,0.3771,8.9864,0.7712,-9.3490,0.4668,0.2506,0.0811,-18.8531,2.1806,Sp    companions,0.2192
142,2,2,0.2050,0.1650,27.6181,0.0000,8.1092,0.1546,-10.4613,1.4933,0.3034,0.2319,-16.2635,1.7147,saturated,0.0385
143,117,116,0.9050,0.5836,24.7560,0.7632,10.0475,0.9476,-9.3485,0.8055,0.3059,0.1298,-21.4642,2.3769,Sb/Sd/Sc,0.1426
144,129,129,0.9500,0.2290,24.1768,0.4625,10.6313,0.4759,-9.3682,0.5461,0.4364,0.1180,-22.6700,1.0136,Sp    clumpy    red,0.1187
145,59,58,0.8900,0.3378,25.2775,0.5452,10.4494,0.6947,-9.6741,1.2134,0.4946,0.1473,-21.6191,1.6867,S0,0.0440
146,258,257,0.7400,0.3194,24.5706,0.5998,9.8572,0.6835,-9.3947,0.2657,0.3229,0.1134,-21.1539,1.5892,Sa/Sb/Sc    companions,0.0940
147,400,64,0.3150,0.2574,22.0012,0.7466,10.4205,0.4072,-12.1307,1.8380,0.6546,0.1286,-20.8740,1.2853,St,0.5572
148,248,64,0.0000,0.8327,20.0424,0.6864,10.3773,0.3314,0.0000,5.6229,0.7386,0.2744,19.8241,21.4118,St,0.3822
149,0,$-$,-,-,-,-,-,-,-,-,-,-,-,-,St,$-$
150,1,1,0.1500,0.0000,20.5827,0.0000,8.6721,0.0000,-8.9818,0.0000,0.0917,0.0000,-18.6251,0.0000,St,0.1015
151,252,252,0.3950,0.0897,22.8831,0.4147,11.0315,0.2563,-14.6512,1.8091,0.7302,0.0461,-21.8988,0.6147,E,0.0937
152,1307,1303,0.4200,0.2045,23.3630,0.4603,9.6383,0.4983,-9.4236,0.2848,0.3137,0.0996,-20.1997,1.2612,Sp    companions,0.2381
153,88,86,1.1050,0.8306,24.8620,1.0559,9.7786,1.0806,-9.3422,0.4466,0.2495,0.1140,-21.2784,3.0185,Sd    asymmetries,0.0058
154,39,18,0.7050,0.3334,24.4366,0.5714,11.4167,1.2862,-11.6263,2.4380,0.7119,0.1939,-23.0464,2.7252,St,0.6421
155,244,244,0.2200,0.1520,22.1121,0.2866,9.6448,0.4491,-9.5068,0.2822,0.3503,0.1020,-19.6735,1.2306,Sa/Sb,0.1404
156,116,107,0.6000,0.1250,23.9123,0.3764,11.1702,0.5035,-14.9083,1.8683,0.7016,0.0937,-22.5190,1.0799,E,0.1028
157,141,140,0.8800,0.4664,25.2833,0.7880,9.7636,0.6937,-9.4358,0.7682,0.3006,0.1271,-20.9287,1.7668,Sb/Sc/Sd    asymmetries,0.1400
158,0,$-$,-,-,-,-,-,-,-,-,-,-,-,-,St,$-$
159,353,353,0.8200,0.3710,24.7141,0.5887,9.9679,0.6332,-9.4585,0.6966,0.3610,0.1195,-21.2260,1.5285,Sp,-0.0076
